Amplicon,CpG_site,Month_Treatment,Reference.Frequency.P,FishNo,Treatment,Month
nr5a2_P,-358,Male.Wild,0.115,Unknown,Male,Wild
nr5a2_P,-358,Male.Wild,0.112,Unknown,Male,Wild
nr5a2_P,-358,Male.Wild,0.072,Unknown,Male,Wild
nr5a2_P,-358,Male.Wild,0.074,Unknown,Male,Wild
nr5a2_P,-328,Female.Captive,0.11,Unknown,Female,Captive
nr5a2_P,-328,Female.Captive,0.132,Unknown,Female,Captive
nr5a2_P,-328,Female.Captive,0.115,Unknown,Female,Captive
nr5a2_P,-328,Female.Wild,0.158,Unknown,Female,Wild
nr5a2_P,-328,Female.Wild,0.204,Unknown,Female,Wild
nr5a2_P,-328,Male.Captive,0.112,Unknown,Male,Captive
nr5a2_P,-328,Male.Captive,0.113,Unknown,Male,Captive
nr5a2_P,-328,Male.Wild,0.118,Unknown,Male,Wild
nr5a2_P,-328,Male.Wild,0.2,Unknown,Male,Wild
nr5a2_P,-328,Male.Wild,0.071,Unknown,Male,Wild
nr5a2_P,-328,Male.Wild,0.087,Unknown,Male,Wild
nr5a2_P,-328,Male.Wild,0.086,Unknown,Male,Wild
nr5a2_P,-273,Female.Captive,0.115,Unknown,Female,Captive
nr5a2_P,-273,Female.Captive,0.132,Unknown,Female,Captive
nr5a2_P,-273,Female.Captive,0.134,Unknown,Female,Captive
nr5a2_P,-273,Female.Wild,0.152,Unknown,Female,Wild
nr5a2_P,-273,Female.Wild,0.222,Unknown,Female,Wild
nr5a2_P,-273,Male.Captive,0.069,Unknown,Male,Captive
nr5a2_P,-273,Male.Captive,0.111,Unknown,Male,Captive
nr5a2_P,-273,Male.Wild,0.133,Unknown,Male,Wild
nr5a2_P,-273,Male.Wild,0.198,Unknown,Male,Wild
nr5a2_P,-273,Male.Wild,0.097,Unknown,Male,Wild
nr5a2_P,-273,Male.Wild,0.093,Unknown,Male,Wild
nr5a2_P,-269,Female.Captive,0.14,Unknown,Female,Captive
nr5a2_P,-269,Female.Captive,0.181,Unknown,Female,Captive
nr5a2_P,-269,Female.Captive,0.135,Unknown,Female,Captive
nr5a2_P,-269,Female.Wild,0.199,Unknown,Female,Wild
nr5a2_P,-269,Female.Wild,0.245,Unknown,Female,Wild
nr5a2_P,-269,Male.Captive,0.075,Unknown,Male,Captive
nr5a2_P,-269,Male.Captive,0.09,Unknown,Male,Captive
nr5a2_P,-269,Male.Wild,0.119,Unknown,Male,Wild
nr5a2_P,-269,Male.Wild,0.145,Unknown,Male,Wild
nr5a2_P,-269,Male.Wild,0.064,Unknown,Male,Wild
nr5a2_P,-269,Male.Wild,0.091,Unknown,Male,Wild
nr5a2_P,-269,Male.Wild,0.105,Unknown,Male,Wild
nr5a2_P,-234,Female.Captive,0.247,Unknown,Female,Captive
nr5a2_P,-234,Female.Captive,0.276,Unknown,Female,Captive
nr5a2_P,-234,Female.Captive,0.222,Unknown,Female,Captive
nr5a2_P,-234,Female.Wild,0.293,Unknown,Female,Wild
nr5a2_P,-234,Female.Wild,0.28,Unknown,Female,Wild
nr5a2_P,-234,Male.Captive,0.09,Unknown,Male,Captive
nr5a2_P,-234,Male.Captive,0.118,Unknown,Male,Captive
nr5a2_P,-234,Male.Wild,0.1,Unknown,Male,Wild
nr5a2_P,-234,Male.Wild,0.159,Unknown,Male,Wild
nr5a2_P,-234,Male.Wild,0.075,Unknown,Male,Wild
nr5a2_P,-234,Male.Wild,0.124,Unknown,Male,Wild
nr5a2_P,-210,Female.Captive,0.117,Unknown,Female,Captive
nr5a2_P,-210,Female.Captive,0.184,Unknown,Female,Captive
nr5a2_P,-210,Female.Captive,0.132,Unknown,Female,Captive
nr5a2_P,-210,Female.Wild,0.157,Unknown,Female,Wild
nr5a2_P,-210,Female.Wild,0.219,Unknown,Female,Wild
nr5a2_P,-210,Male.Captive,0.097,Unknown,Male,Captive
nr5a2_P,-210,Male.Captive,0.093,Unknown,Male,Captive
nr5a2_P,-210,Male.Wild,0.122,Unknown,Male,Wild
nr5a2_P,-210,Male.Wild,0.2,Unknown,Male,Wild
nr5a2_P,-210,Male.Wild,0.074,Unknown,Male,Wild
nr5a2_P,-210,Male.Wild,0.087,Unknown,Male,Wild
nr5a2_P,-210,Male.Wild,0.074,Unknown,Male,Wild
nr5a2_P,-202,Female.Captive,0.163,Unknown,Female,Captive
nr5a2_P,-202,Female.Captive,0.244,Unknown,Female,Captive
nr5a2_P,-202,Female.Captive,0.213,Unknown,Female,Captive
nr5a2_P,-202,Female.Wild,0.284,Unknown,Female,Wild
nr5a2_P,-202,Female.Wild,0.281,Unknown,Female,Wild
nr5a2_P,-202,Male.Captive,0.096,Unknown,Male,Captive
nr5a2_P,-202,Male.Captive,0.114,Unknown,Male,Captive
nr5a2_P,-202,Male.Wild,0.127,Unknown,Male,Wild
nr5a2_P,-202,Male.Wild,0.111,Unknown,Male,Wild
nr5a2_P,-202,Male.Wild,0.096,Unknown,Male,Wild
nr5a2_P,-202,Male.Wild,0.045,Unknown,Male,Wild
nr5a2_P,-202,Male.Wild,0.115,Unknown,Male,Wild
nr5a2_P,-199,Female.Captive,0.139,Unknown,Female,Captive
nr5a2_P,-199,Female.Captive,0.188,Unknown,Female,Captive
nr5a2_P,-199,Female.Captive,0.105,Unknown,Female,Captive
nr5a2_P,-199,Female.Wild,0.159,Unknown,Female,Wild
nr5a2_P,-199,Female.Wild,0.234,Unknown,Female,Wild
nr5a2_P,-199,Male.Captive,0.084,Unknown,Male,Captive
nr5a2_P,-199,Male.Captive,0.107,Unknown,Male,Captive
nr5a2_P,-199,Male.Wild,0.122,Unknown,Male,Wild
nr5a2_P,-199,Male.Wild,0.128,Unknown,Male,Wild
nr5a2_P,-199,Male.Wild,0.14,Unknown,Male,Wild
nr5a2_P,-199,Male.Wild,0.091,Unknown,Male,Wild
nr5a2_P,-199,Male.Wild,0.082,Unknown,Male,Wild
nr5a2_PE1,-30,Female.Captive,0.468,Unknown,Female,Captive
nr5a2_PE1,-30,Female.Captive,0.489,Unknown,Female,Captive
nr5a2_PE1,-30,Female.Captive,0.69,Unknown,Female,Captive
nr5a2_PE1,-30,Female.Captive,0.539,Unknown,Female,Captive
nr5a2_PE1,-30,Female.Wild,0.599,Unknown,Female,Wild
nr5a2_PE1,-30,Female.Wild,0.488,Unknown,Female,Wild
nr5a2_PE1,-30,Female.Wild,0.481,Unknown,Female,Wild
nr5a2_PE1,-30,Male.Captive,0.274,Unknown,Male,Captive
nr5a2_PE1,-30,Male.Captive,0.161,Unknown,Male,Captive
nr5a2_PE1,-30,Male.Wild,0.152,Unknown,Male,Wild
nr5a2_PE1,-30,Male.Wild,0.207,Unknown,Male,Wild
nr5a2_PE1,-30,Male.Wild,0.11,Unknown,Male,Wild
nr5a2_PE1,-30,Male.Wild,0.055,Unknown,Male,Wild
nr5a2_PE1,-30,Male.Wild,0.136,Unknown,Male,Wild
nr5a2_PE1,-19,Female.Captive,0.632,Unknown,Female,Captive
nr5a2_PE1,-19,Female.Captive,0.656,Unknown,Female,Captive
nr5a2_PE1,-19,Female.Captive,0.84,Unknown,Female,Captive
nr5a2_PE1,-19,Female.Captive,0.697,Unknown,Female,Captive
nr5a2_PE1,-19,Female.Wild,0.762,Unknown,Female,Wild
nr5a2_PE1,-19,Female.Wild,0.618,Unknown,Female,Wild
nr5a2_PE1,-19,Male.Captive,0.342,Unknown,Male,Captive
nr5a2_PE1,-19,Male.Captive,0.176,Unknown,Male,Captive
nr5a2_PE1,-19,Male.Wild,0.179,Unknown,Male,Wild
nr5a2_PE1,-19,Male.Wild,0.233,Unknown,Male,Wild
nr5a2_PE1,-19,Male.Wild,0.134,Unknown,Male,Wild
nr5a2_PE1,-19,Male.Wild,0.069,Unknown,Male,Wild
nr5a2_PE1,-19,Male.Wild,0.165,Unknown,Male,Wild
nr5a2_PE1,20,Female.Captive,0.476,Unknown,Female,Captive
nr5a2_PE1,20,Female.Captive,0.456,Unknown,Female,Captive
nr5a2_PE1,20,Female.Captive,0.668,Unknown,Female,Captive
nr5a2_PE1,20,Female.Captive,0.482,Unknown,Female,Captive
nr5a2_PE1,20,Female.Wild,0.51,Unknown,Female,Wild
nr5a2_PE1,20,Female.Wild,0.455,Unknown,Female,Wild
nr5a2_PE1,20,Female.Wild,0.467,Unknown,Female,Wild
nr5a2_PE1,20,Male.Captive,0.252,Unknown,Male,Captive
nr5a2_PE1,20,Male.Captive,0.136,Unknown,Male,Captive
nr5a2_PE1,20,Male.Wild,0.145,Unknown,Male,Wild
nr5a2_PE1,20,Male.Wild,0.192,Unknown,Male,Wild
nr5a2_PE1,20,Male.Wild,0.094,Unknown,Male,Wild
nr5a2_PE1,20,Male.Wild,0.043,Unknown,Male,Wild
nr5a2_PE1,20,Male.Wild,0.122,Unknown,Male,Wild
nr5a2_PE1,32,Female.Captive,0.491,Unknown,Female,Captive
nr5a2_PE1,32,Female.Captive,0.412,Unknown,Female,Captive
nr5a2_PE1,32,Female.Captive,0.774,Unknown,Female,Captive
nr5a2_PE1,32,Female.Captive,0.451,Unknown,Female,Captive
nr5a2_PE1,32,Female.Wild,0.502,Unknown,Female,Wild
nr5a2_PE1,32,Female.Wild,0.452,Unknown,Female,Wild
nr5a2_PE1,32,Female.Wild,0.453,Unknown,Female,Wild
nr5a2_PE1,32,Male.Captive,0.23,Unknown,Male,Captive
nr5a2_PE1,32,Male.Captive,0.162,Unknown,Male,Captive
nr5a2_PE1,32,Male.Wild,0.148,Unknown,Male,Wild
nr5a2_PE1,32,Male.Wild,0.206,Unknown,Male,Wild
nr5a2_PE1,32,Male.Wild,0.097,Unknown,Male,Wild
nr5a2_PE1,32,Male.Wild,0.052,Unknown,Male,Wild
nr5a2_PE1,32,Male.Wild,0.131,Unknown,Male,Wild
nr5a2_PE1,44,Female.Captive,0.409,Unknown,Female,Captive
nr5a2_PE1,44,Female.Captive,0.378,Unknown,Female,Captive
nr5a2_PE1,44,Female.Captive,0.676,Unknown,Female,Captive
nr5a2_PE1,44,Female.Captive,0.413,Unknown,Female,Captive
nr5a2_PE1,44,Female.Wild,0.444,Unknown,Female,Wild
nr5a2_PE1,44,Female.Wild,0.383,Unknown,Female,Wild
nr5a2_PE1,44,Female.Wild,0.367,Unknown,Female,Wild
nr5a2_PE1,44,Male.Captive,0.224,Unknown,Male,Captive
nr5a2_PE1,44,Male.Captive,0.151,Unknown,Male,Captive
nr5a2_PE1,44,Male.Wild,0.157,Unknown,Male,Wild
nr5a2_PE1,44,Male.Wild,0.218,Unknown,Male,Wild
nr5a2_PE1,44,Male.Wild,0.123,Unknown,Male,Wild
nr5a2_PE1,44,Male.Wild,0.057,Unknown,Male,Wild
nr5a2_PE1,44,Male.Wild,0.129,Unknown,Male,Wild
nr5a2_PE1,50,Female.Captive,0.679,Unknown,Female,Captive
nr5a2_PE1,50,Female.Captive,0.697,Unknown,Female,Captive
nr5a2_PE1,50,Female.Captive,0.868,Unknown,Female,Captive
nr5a2_PE1,50,Female.Captive,0.65,Unknown,Female,Captive
nr5a2_PE1,50,Female.Wild,0.704,Unknown,Female,Wild
nr5a2_PE1,50,Female.Wild,0.635,Unknown,Female,Wild
nr5a2_PE1,50,Female.Wild,0.656,Unknown,Female,Wild
nr5a2_PE1,50,Male.Captive,0.323,Unknown,Male,Captive
nr5a2_PE1,50,Male.Captive,0.173,Unknown,Male,Captive
nr5a2_PE1,50,Male.Wild,0.155,Unknown,Male,Wild
nr5a2_PE1,50,Male.Wild,0.201,Unknown,Male,Wild
nr5a2_PE1,50,Male.Wild,0.085,Unknown,Male,Wild
nr5a2_PE1,50,Male.Wild,0.061,Unknown,Male,Wild
nr5a2_PE1,50,Male.Wild,0.161,Unknown,Male,Wild
nr5a2_PE1,77,Female.Captive,0.694,Unknown,Female,Captive
nr5a2_PE1,77,Female.Captive,0.767,Unknown,Female,Captive
nr5a2_PE1,77,Female.Captive,0.813,Unknown,Female,Captive
nr5a2_PE1,77,Female.Captive,0.747,Unknown,Female,Captive
nr5a2_PE1,77,Female.Wild,0.763,Unknown,Female,Wild
nr5a2_PE1,77,Female.Wild,0.682,Unknown,Female,Wild
nr5a2_PE1,77,Female.Wild,0.701,Unknown,Female,Wild
nr5a2_PE1,77,Male.Captive,0.361,Unknown,Male,Captive
nr5a2_PE1,77,Male.Captive,0.157,Unknown,Male,Captive
nr5a2_PE1,77,Male.Wild,0.144,Unknown,Male,Wild
nr5a2_PE1,77,Male.Wild,0.206,Unknown,Male,Wild
nr5a2_PE1,77,Male.Wild,0.098,Unknown,Male,Wild
nr5a2_PE1,77,Male.Wild,0.051,Unknown,Male,Wild
nr5a2_PE1,77,Male.Wild,0.162,Unknown,Male,Wild
nr5a2_PE1,92,Female.Captive,0.699,Unknown,Female,Captive
nr5a2_PE1,92,Female.Captive,0.704,Unknown,Female,Captive
nr5a2_PE1,92,Female.Captive,0.882,Unknown,Female,Captive
nr5a2_PE1,92,Female.Captive,0.7,Unknown,Female,Captive
nr5a2_PE1,92,Female.Wild,0.786,Unknown,Female,Wild
nr5a2_PE1,92,Female.Wild,0.716,Unknown,Female,Wild
nr5a2_PE1,92,Male.Captive,0.336,Unknown,Male,Captive
nr5a2_PE1,92,Male.Captive,0.162,Unknown,Male,Captive
nr5a2_PE1,92,Male.Wild,0.159,Unknown,Male,Wild
nr5a2_PE1,92,Male.Wild,0.197,Unknown,Male,Wild
nr5a2_PE1,92,Male.Wild,0.095,Unknown,Male,Wild
nr5a2_PE1,92,Male.Wild,0.057,Unknown,Male,Wild
nr5a2_PE1,92,Male.Wild,0.175,Unknown,Male,Wild
amh_PE1,-181,Female.Captive,0.55,Unknown,Female,Captive
amh_PE1,-181,Female.Captive,0.38,Unknown,Female,Captive
amh_PE1,-181,Female.Captive,0.54,Unknown,Female,Captive
amh_PE1,-181,Female.Captive,0.7,Unknown,Female,Captive
amh_PE1,-181,Female.Captive,0.87,Unknown,Female,Captive
amh_PE1,-181,Female.Captive,0.6,Unknown,Female,Captive
amh_PE1,-181,Female.Captive,0.3,Unknown,Female,Captive
amh_PE1,-181,Female.Captive,0.36,Unknown,Female,Captive
amh_PE1,-181,Female.Captive,0.38,Unknown,Female,Captive
amh_PE1,-181,Female.Captive,0.28,Unknown,Female,Captive
amh_PE1,-181,Female.Wild,0.49,Unknown,Female,Wild
amh_PE1,-181,Female.Wild,0.5,Unknown,Female,Wild
amh_PE1,-181,Female.Wild,0.5,Unknown,Female,Wild
amh_PE1,-181,Female.Wild,0.54,Unknown,Female,Wild
amh_PE1,-181,Male.Captive,0.97,Unknown,Male,Captive
amh_PE1,-181,Male.Captive,0.98,Unknown,Male,Captive
amh_PE1,-181,Male.Captive,0.97,Unknown,Male,Captive
amh_PE1,-181,Male.Captive,0.98,Unknown,Male,Captive
amh_PE1,-181,Male.Captive,0.88,Unknown,Male,Captive
amh_PE1,-181,Male.Wild,0.65,Unknown,Male,Wild
amh_PE1,-181,Male.Wild,0.62,Unknown,Male,Wild
amh_PE1,-181,Male.Wild,0.98,Unknown,Male,Wild
amh_PE1,-181,Male.Wild,0.91,Unknown,Male,Wild
amh_PE1,-181,Male.Wild,0.83,Unknown,Male,Wild
amh_PE1,-111,Female.Captive,0.6,Unknown,Female,Captive
amh_PE1,-111,Female.Captive,0.38,Unknown,Female,Captive
amh_PE1,-111,Female.Captive,0.5,Unknown,Female,Captive
amh_PE1,-111,Female.Captive,0.68,Unknown,Female,Captive
amh_PE1,-111,Female.Captive,0.85,Unknown,Female,Captive
amh_PE1,-111,Female.Captive,0.76,Unknown,Female,Captive
amh_PE1,-111,Female.Captive,0.33,Unknown,Female,Captive
amh_PE1,-111,Female.Captive,0.43,Unknown,Female,Captive
amh_PE1,-111,Female.Captive,0.35,Unknown,Female,Captive
amh_PE1,-111,Female.Captive,0.32,Unknown,Female,Captive
amh_PE1,-111,Female.Wild,0.45,Unknown,Female,Wild
amh_PE1,-111,Female.Wild,0.48,Unknown,Female,Wild
amh_PE1,-111,Female.Wild,0.55,Unknown,Female,Wild
amh_PE1,-111,Female.Wild,0.58,Unknown,Female,Wild
amh_PE1,-111,Male.Captive,0.96,Unknown,Male,Captive
amh_PE1,-111,Male.Captive,0.99,Unknown,Male,Captive
amh_PE1,-111,Male.Captive,0.97,Unknown,Male,Captive
amh_PE1,-111,Male.Captive,0.98,Unknown,Male,Captive
amh_PE1,-111,Male.Captive,0.87,Unknown,Male,Captive
amh_PE1,-111,Male.Captive,0.92,Unknown,Male,Captive
amh_PE1,-111,Male.Wild,0.61,Unknown,Male,Wild
amh_PE1,-111,Male.Wild,0.58,Unknown,Male,Wild
amh_PE1,-111,Male.Wild,0.97,Unknown,Male,Wild
amh_PE1,-111,Male.Wild,0.92,Unknown,Male,Wild
amh_PE1,-111,Male.Wild,0.67,Unknown,Male,Wild
amh_PE1,-109,Female.Captive,0.61,Unknown,Female,Captive
amh_PE1,-109,Female.Captive,0.37,Unknown,Female,Captive
amh_PE1,-109,Female.Captive,0.56,Unknown,Female,Captive
amh_PE1,-109,Female.Captive,0.64,Unknown,Female,Captive
amh_PE1,-109,Female.Captive,0.89,Unknown,Female,Captive
amh_PE1,-109,Female.Captive,0.67,Unknown,Female,Captive
amh_PE1,-109,Female.Captive,0.32,Unknown,Female,Captive
amh_PE1,-109,Female.Captive,0.43,Unknown,Female,Captive
amh_PE1,-109,Female.Captive,0.29,Unknown,Female,Captive
amh_PE1,-109,Female.Captive,0.31,Unknown,Female,Captive
amh_PE1,-109,Female.Wild,0.41,Unknown,Female,Wild
amh_PE1,-109,Female.Wild,0.46,Unknown,Female,Wild
amh_PE1,-109,Female.Wild,0.5,Unknown,Female,Wild
amh_PE1,-109,Female.Wild,0.54,Unknown,Female,Wild
amh_PE1,-109,Male.Captive,0.96,Unknown,Male,Captive
amh_PE1,-109,Male.Captive,0.89,Unknown,Male,Captive
amh_PE1,-109,Male.Captive,0.92,Unknown,Male,Captive
amh_PE1,-109,Male.Wild,0.6,Unknown,Male,Wild
amh_PE1,-109,Male.Wild,0.65,Unknown,Male,Wild
amh_PE1,-33,Female.Captive,0.46,Unknown,Female,Captive
amh_PE1,-33,Female.Captive,0.39,Unknown,Female,Captive
amh_PE1,-33,Female.Captive,0.53,Unknown,Female,Captive
amh_PE1,-33,Female.Captive,0.67,Unknown,Female,Captive
amh_PE1,-33,Female.Captive,0.86,Unknown,Female,Captive
amh_PE1,-33,Female.Captive,0.66,Unknown,Female,Captive
amh_PE1,-33,Female.Captive,0.33,Unknown,Female,Captive
amh_PE1,-33,Female.Captive,0.57,Unknown,Female,Captive
amh_PE1,-33,Female.Captive,0.21,Unknown,Female,Captive
amh_PE1,-33,Female.Captive,0.35,Unknown,Female,Captive
amh_PE1,-33,Female.Wild,0.38,Unknown,Female,Wild
amh_PE1,-33,Female.Wild,0.49,Unknown,Female,Wild
amh_PE1,-33,Female.Wild,0.45,Unknown,Female,Wild
amh_PE1,-33,Female.Wild,0.54,Unknown,Female,Wild
amh_PE1,-33,Male.Captive,0.96,Unknown,Male,Captive
amh_PE1,-33,Male.Captive,0.98,Unknown,Male,Captive
amh_PE1,-33,Male.Captive,0.98,Unknown,Male,Captive
amh_PE1,-33,Male.Captive,0.98,Unknown,Male,Captive
amh_PE1,-33,Male.Captive,0.94,Unknown,Male,Captive
amh_PE1,-33,Male.Captive,0.92,Unknown,Male,Captive
amh_PE1,-33,Male.Wild,0.65,Unknown,Male,Wild
amh_PE1,-33,Male.Wild,0.6,Unknown,Male,Wild
amh_PE1,-33,Male.Wild,0.75,Unknown,Male,Wild
amh_PE1,-33,Male.Wild,0.98,Unknown,Male,Wild
amh_PE1,-33,Male.Wild,0.91,Unknown,Male,Wild
amh_PE1,-33,Male.Wild,0.6,Unknown,Male,Wild
amh_PE1,-33,Male.Wild,0.71,Unknown,Male,Wild
amh_PE1,-33,Male.Wild,0.95,Unknown,Male,Wild
amh_PE1,-17,Female.Captive,0.51,Unknown,Female,Captive
amh_PE1,-17,Female.Captive,0.39,Unknown,Female,Captive
amh_PE1,-17,Female.Captive,0.54,Unknown,Female,Captive
amh_PE1,-17,Female.Captive,0.7,Unknown,Female,Captive
amh_PE1,-17,Female.Captive,0.86,Unknown,Female,Captive
amh_PE1,-17,Female.Captive,0.7,Unknown,Female,Captive
amh_PE1,-17,Female.Captive,0.3,Unknown,Female,Captive
amh_PE1,-17,Female.Captive,0.55,Unknown,Female,Captive
amh_PE1,-17,Female.Captive,0.24,Unknown,Female,Captive
amh_PE1,-17,Female.Captive,0.34,Unknown,Female,Captive
amh_PE1,-17,Female.Wild,0.45,Unknown,Female,Wild
amh_PE1,-17,Female.Wild,0.51,Unknown,Female,Wild
amh_PE1,-17,Female.Wild,0.45,Unknown,Female,Wild
amh_PE1,-17,Female.Wild,0.61,Unknown,Female,Wild
amh_PE1,-17,Male.Captive,0.98,Unknown,Male,Captive
amh_PE1,-17,Male.Captive,0.97,Unknown,Male,Captive
amh_PE1,-17,Male.Captive,0.98,Unknown,Male,Captive
amh_PE1,-17,Male.Captive,0.96,Unknown,Male,Captive
amh_PE1,-17,Male.Captive,0.94,Unknown,Male,Captive
amh_PE1,-17,Male.Captive,0.9,Unknown,Male,Captive
amh_PE1,-17,Male.Wild,0.64,Unknown,Male,Wild
amh_PE1,-17,Male.Wild,0.56,Unknown,Male,Wild
amh_PE1,-17,Male.Wild,0.75,Unknown,Male,Wild
amh_PE1,-17,Male.Wild,0.98,Unknown,Male,Wild
amh_PE1,-17,Male.Wild,0.92,Unknown,Male,Wild
amh_PE1,-17,Male.Wild,0.53,Unknown,Male,Wild
amh_PE1,-17,Male.Wild,0.71,Unknown,Male,Wild
amh_PE1,-17,Male.Wild,0.9,Unknown,Male,Wild
amh_PE1,23,Female.Captive,0.46,Unknown,Female,Captive
amh_PE1,23,Female.Captive,0.4,Unknown,Female,Captive
amh_PE1,23,Female.Captive,0.51,Unknown,Female,Captive
amh_PE1,23,Female.Captive,0.66,Unknown,Female,Captive
amh_PE1,23,Female.Captive,0.86,Unknown,Female,Captive
amh_PE1,23,Female.Captive,0.69,Unknown,Female,Captive
amh_PE1,23,Female.Captive,0.33,Unknown,Female,Captive
amh_PE1,23,Female.Captive,0.5,Unknown,Female,Captive
amh_PE1,23,Female.Captive,0.28,Unknown,Female,Captive
amh_PE1,23,Female.Captive,0.37,Unknown,Female,Captive
amh_PE1,23,Female.Wild,0.49,Unknown,Female,Wild
amh_PE1,23,Female.Wild,0.5,Unknown,Female,Wild
amh_PE1,23,Female.Wild,0.6,Unknown,Female,Wild
amh_PE1,23,Male.Captive,0.96,Unknown,Male,Captive
amh_PE1,23,Male.Captive,0.98,Unknown,Male,Captive
amh_PE1,23,Male.Captive,0.97,Unknown,Male,Captive
amh_PE1,23,Male.Captive,0.93,Unknown,Male,Captive
amh_PE1,23,Male.Captive,0.91,Unknown,Male,Captive
amh_PE1,23,Male.Wild,0.67,Unknown,Male,Wild
amh_PE1,23,Male.Wild,0.53,Unknown,Male,Wild
amh_PE1,23,Male.Wild,0.96,Unknown,Male,Wild
amh_PE1,23,Male.Wild,0.9,Unknown,Male,Wild
amh_PE1,23,Male.Wild,0.77,Unknown,Male,Wild
sox9_PE1,-105,Female.Captive,0.016,Unknown,Female,Captive
sox9_PE1,-105,Female.Captive,0.009,Unknown,Female,Captive
sox9_PE1,-105,Female.Captive,0.008,Unknown,Female,Captive
sox9_PE1,-105,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,-105,Female.Captive,0.007,Unknown,Female,Captive
sox9_PE1,-105,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,-105,Female.Wild,0.017,Unknown,Female,Wild
sox9_PE1,-105,Female.Wild,0.011,Unknown,Female,Wild
sox9_PE1,-105,Female.Wild,0.013,Unknown,Female,Wild
sox9_PE1,-105,Male.Captive,0.011,Unknown,Male,Captive
sox9_PE1,-105,Male.Captive,0.009,Unknown,Male,Captive
sox9_PE1,-105,Male.Captive,0.009,Unknown,Male,Captive
sox9_PE1,-105,Male.Captive,0.008,Unknown,Male,Captive
sox9_PE1,-105,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,-105,Male.Wild,0.011,Unknown,Male,Wild
sox9_PE1,-105,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,-105,Male.Wild,0.009,Unknown,Male,Wild
sox9_PE1,-105,Male.Wild,0.008,Unknown,Male,Wild
sox9_PE1,-105,Male.Wild,0.007,Unknown,Male,Wild
sox9_PE1,-105,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,-105,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,-27,Female.Captive,0.019,Unknown,Female,Captive
sox9_PE1,-27,Female.Captive,0.012,Unknown,Female,Captive
sox9_PE1,-27,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,-27,Female.Captive,0.005,Unknown,Female,Captive
sox9_PE1,-27,Female.Captive,0.008,Unknown,Female,Captive
sox9_PE1,-27,Female.Captive,0.015,Unknown,Female,Captive
sox9_PE1,-27,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,-27,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,-27,Female.Wild,0.007,Unknown,Female,Wild
sox9_PE1,-27,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,-27,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,-27,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,-27,Male.Captive,0.006,Unknown,Male,Captive
sox9_PE1,-27,Male.Wild,0.006,Unknown,Male,Wild
sox9_PE1,-27,Male.Wild,0.016,Unknown,Male,Wild
sox9_PE1,-27,Male.Wild,0.015,Unknown,Male,Wild
